"","postal.code","Gemeinde"
"222",8212,"Neuhausen am Rheinfall"
"223",8222,"Beringen"
"224",8222,"Beringen"
"225",8238,"Büsingen"
"226",8248,"Laufen-Uhwiesen "
"227",8302,"Kloten"
"228",8304,"Wallisellen"
"229",8311,"Brütten"
"230",8340,"Hinwil"
"231",8355,"Aadorf"
"232",8356,"Aadorf"
"233",8405,"Winterthur"
"234",8427,"Rorbas"
"235",8427,"Freienstein-Teufen"
"236",8444,"Henggart"
"237",8450,"Andelfingen"
"238",8451,"Kleinandelfingen"
"239",8500,"Frauenfeld"
"240",8500,"Frauenfeld"
"241",8542,"Wiesendangen"
"242",8546,"Gachnang"
"243",8552,"Felben-Wellhausen"
"244",8570,"Weinfelden"
"245",8572,"Berg (TG)"
"246",8580,"Hefenhofen"
"247",8580,"Sommeri"
"248",8580,"Amriswil"
"249",8590,"Romanshorn"
"250",8595,"Altnau"
"251",8600,"Dübendorf"
"252",8600,"Dübendorf"
"253",8610,"Uster"
"254",8623,"Wetzikon (ZH)"
"255",8625,"Gossau (ZH)"
"256",8630,"Rüti (ZH)"
"257",8632,"Dürnten"
"258",8634,"Hombrechtikon"
"259",8702,"Zollikon"
"260",8703,"Erlenbach (ZH)"
"261",8712,"Stäfa"
"262",8730,"Uznach"
"263",8762,"Glarus Süd "
"264",8800,"Thalwil"
"265",8803,"Rüschlikon"
"266",8805,"Richterswil"
"267",8868,"Glarus Nord"
"268",8880,"Walenstadt"
"269",8903,"Birmensdorf (ZH)"
"270",8932,"Mettmenstetten"
"271",8952,"Schlieren"
"272",8954,"Geroldswil"
"273",8957,"Spreitenbach"
"274",9000,"St. Gallen"
"275",9000,"St. Gallen"
"276",9000,"St. Gallen"
"277",9008,"St. Gallen"
"278",9011,"St. Gallen"
"279",9016,"St. Gallen"
"280",9055,"Bühler"
"281",9100,"Herisau"
"282",9100,"Herisau"
"283",9100,"Herisau"
"284",9103,"Schwellbrunn"
"285",9113,"Degersheim"
"286",9127,"St. Silvester"
"287",9240,"Uzwil"
"288",9240,"Niederglatt"
"289",9244,"Uzwil"
"290",9320,"Arbon"
"291",9400,"Rorschach"
"292",9435,"Au (SG)"
"293",9442,"Berneck"
"294",9444,"Diepoldsau"
"295",9450,"Altstätten"
"296",9452,"Eichberg"
"297",9469,"Sennwald"
"298",9470,"Buchs (SG)"
"299",9470,"Buchs (SG)"
"300",9507,"Stettfurt"
"301",9514,"Wuppenau"
"302",9526,"Niederhelfenschwil "
"303",9535,"Wilen (TG) "
"304",9552,"Wil (SG) "
"305",9630,"Wattwil"
