"","m","impact.wave1","events.wave1","ee_concerns.wave1","country","impact.wave2","energy_price","percent_energy","gas_price","percent_gas","ee_concerns.wave2","events.wave2","n","ee_concerns.diff","impact.diff"
"101",229242449960052,3,348910,6,"Switzerland",3,2,30,4,10,6,34822,1,0,0
"102",229242449960055,1,48,5,"Switzerland",2,2,15,2,75,4,348,1,1,-1
"103",229242449960057,4,48,5,"Switzerland",3,3,NA,2,70,3,8,1,2,1
"104",229242449960062,3,3489,6,"Switzerland",2,2,10,2,20,5,348922,1,1,1
"105",229242449960063,4,3,4,"Switzerland",4,2,50,2,100,4,3,1,0,0
"106",229242449961107,3,48,4,"Switzerland",3,2,20,2,100,2,48,1,2,0
"107",229242449961111,3,348,5,"Switzerland",3,2,100,4,15,5,4,1,0,0
"108",229242449961112,3,48,4,"Switzerland",3,2,40,2,50,4,482210,1,0,0
"109",229242449962145,4,4,3,"Switzerland",3,2,30,2,50,5,48,1,-2,1
"110",229242449962151,3,489,5,"Switzerland",3,2,10,4,15,4,4822,1,1,0
"111",229242449962154,2,348,4,"Switzerland",3,2,6,2,10,5,34822,1,-1,-1
"112",229242449963187,3,11,5,"Switzerland",2,2,90,2,80,5,4,1,0,1
"113",229242449963203,3,11,1,"Switzerland",1,2,10,2,15,5,4,1,-4,2
"114",229242449964248,3,48,4,"Switzerland",4,2,10,2,5,4,48,1,0,-1
"115",229242449965295,3,10,1,"Switzerland",3,3,NA,2,100,1,10,1,0,0
"116",229242449966323,4,48,5,"Switzerland",3,2,5,2,10,3,4,1,2,1
"117",229242449966328,2,11,6,"Switzerland",3,2,7,2,5,3,822,1,3,-1
"118",229242449966332,3,48,4,"Switzerland",3,2,15,2,20,3,48,1,1,0
"119",229242449967117,1,11,5,"Switzerland",1,3,NA,3,NA,6,11,1,-1,0
"120",229242449968175,3,48,3,"Switzerland",3,2,25,2,10,2,34822,1,1,0
"121",229242449969214,2,89,6,"Switzerland",2,2,80,2,100,6,11,1,0,0
"122",229242449969217,4,34568,5,"Switzerland",3,2,3,2,5,5,348,1,0,1
"123",229242449970251,4,34,4,"Switzerland",4,3,NA,2,5,4,1,1,0,0
"124",229242449970265,6,34910,6,"Switzerland",5,2,4,2,15,5,4892210,1,1,1
"125",229242449972339,3,11,5,"Switzerland",3,2,50,2,10,4,11,1,1,0
"126",229242449974438,2,48,5,"Switzerland",3,3,NA,2,3,5,22,1,0,-1
"127",229242449975493,4,8,4,"Switzerland",3,2,15,2,10,5,34822,1,-1,1
"128",229242449982547,1,4,6,"Switzerland",2,2,35,2,15,6,4922,1,0,-1
"129",229242449982562,3,48,6,"Switzerland",3,2,20,2,20,6,489,1,0,0
"130",229242450000078,3,48,4,"Switzerland",3,2,20,2,16,4,1348922,1,0,0
