Gemeinde;Preise2023
Brenzikofen ;25,5
Bretigny-sur-Morrens ;31,56
Bretonnières ;32,26
Bretzwil ;31,31
Brienz (BE) ;31,09
Brienzwiler ;34,96
Brig-Glis ;28,75
Brione sopra Minusio ;29,24
Brislach ;31,31
Brissago ;29,24
Brittnau ;25,13
Broc ;25,35
Brot-Plamboz ;26,75
Brugg ;24,54
Brügg ;36,32
Brunegg ;25,13
Brünisried ;25,35
Brusino Arsizio ;28,52
Brusio ;10,99
Brüttelen ;25,5
Brütten ;21,88
Bubendorf ;25,65
Bubikon ;21,88
Buch (SH) ;24,4
Buch am Irchel ;21,88
Buchberg ;24,4
Buchegg ;32,49
Buchegg ;45,95
Buchholterberg ;24,75
Buchholterberg ;38,55
Buchillon ;31,56
Buchrain ;28,85
Buchs (AG) ;27,2
Buchs (SG) ;30,81
Buchs (ZH) ;21,88
Buckten ;25,65
Büetigen ;36,03
Bühl ;25,5
Bühler ;26,72
Bülach ;21,88
Bulle ;27,99
Bullet ;32,26
Bünzen ;24,96
Buochs ;19,56
Bürchen ;24,69
Bure ;25,5
Büren (SO) ;31,31
Büren an der Aare ;33,7
Burg (AG) ;25,13
Burg im Leimental ;31,31
Burgdorf ;36,21
Burgistein ;25,5
Bürglen (TG) ;27,21
Bürglen (TG) ;21,68
Bürglen (UR) ;30,66
Büron ;28,85
Bursinel ;31,56
Bursins ;32,26
Burtigny ;32,26
Buseno ;22,15
Büsserach ;31,31
Bussigny ;32,96
Bussnang ;19,08
Busswil bei Melchnau ;25,5
Bussy-sur-Moudon ;31,56
Bütschwil-Ganterschwil ;32
Bütschwil-Ganterschwil ;26,72
Büttenhardt ;24,4
Büttikon ;18,71
Buttisholz ;28,85
Buttwil ;27,2
Buus ;25,65
Cademario ;28,52
Cadempino ;28,52
Cadenazzo ;21,9
Calanca ;31,03
Cama ;36,13
Campo (Vallemaggia) ;29,24
Canobbio ;28,52
Capriasca ;28,86
Carouge (GE) ;24,22
Cartigny ;24,22
Caslano ;28,52
Castaneda ;37,26
Castel San Pietro ;28,52
Cazis ;21,94
Celerina/Schlarigna ;30,57
Céligny ;30,94
Centovalli ;29,24
Cerentino ;29,24
Cevio ;29,24
Chalais ;30,8
Cham ;30,03
Chamblon ;32,26
Chamoson ;27,45
Champagne ;32,26
Champéry ;31,94
Champoz ;25,5
Champtauroz ;32,26
Champvent ;31,56
Chancy ;24,22
Chapelle (Glâne) ;25,35
Chardonne ;32,76
Château-d'Oex ;26,25
Châtel-Saint-Denis ;25,35
Châtel-sur-Montsalvens ;28,62
Châtillon (FR) ;25,35
Châtillon (JU) ;25,5
Châtonnaye ;25,35
Chavannes-de-Bogis ;32,26
Chavannes-des-Bois ;31,56
Chavannes-le-Chêne ;31,56
Chavannes-le-Veyron ;31,56
Chavannes-près-Renens ;37,25
Chavannes-sur-Moudon ;31,56
Chavornay ;32,26
Chêne-Bougeries ;24,22
Chêne-Bourg ;24,22
Chêne-Pâquier ;32,26
Chénens ;25,35
Cheseaux-Noréaz ;31,56
Cheseaux-sur-Lausanne ;32,51
Chéserex ;31,56
Chessel ;31,56
Chevilly ;32,26
Chevroux ;26,25
Chexbres ;32,26
Cheyres-Châbles ;25,35
Chiasso ;25,43
Chigny ;32,26
Chippis ;30,8
Choulex ;24,22
Chur ;25,3
Churwalden ;53,76
Clarmont ;31,56
Clos du Doubs ;25,5
Coeuve ;25,5
Coinsins ;25,98
Coldrerio ;28,52
Collex-Bossy ;24,22
Collina d'Oro ;28,52
Collombey-Muraz ;31,94
Collonge-Bellerive ;24,22
Collonges ;27,26
Cologny ;24,22
Comano ;28,52
Commugny ;31,56
Concise ;32,26
Confignon ;24,22
Conters im Prättigau ;26,56
Conthey ;30,8
Coppet ;32,26
Corbeyrier ;32,26
Corbières ;28,62
Corcelles (BE) ;25,5
Corcelles-le-Jorat ;31,56
Corcelles-près-Concise ;32,26
Corcelles-près-Payerne ;26,25
Corgémont ;25,5
Corminboeuf ;25,35
Cormoret ;25,84
Cornaux ;26,05
Cornol ;25,5
Corseaux ;32,26
Corsier (GE) ;24,22
Corsier-sur-Vevey ;32,46
Cortaillod ;33,33
Cortébert ;25,94
Cossonay ;32,56
Cottens (FR) ;25,35
Courchapoix ;31,73
Courchavon ;25,5
Courgenay ;25,5
Courgevaux ;25,35
Courrendlin ;25,5
Courroux ;25,5
Court ;25,5
Courtedoux ;25,5
Courtelary ;25,94
Courtepin ;25,35
Courtételle ;25,5
Crans (VD) ;32,26
Crans-Montana ;30,8
Crassier ;32,26
Crémines ;25,5
Cressier (FR) ;25,35
Cressier (NE) ;26,95
Crésuz ;28,62
Crissier ;37,05
Cronay ;32,26
Croy ;32,26
Cuarnens ;32,26
Cuarny ;31,56
Cudrefin ;25,35
Cugnasco-Gerra ;29,24
Cugy (FR) ;25,35
Cugy (VD) ;32,26
Cureglia ;28,52
Curio ;28,52
Curtilles ;32,26
Dachsen ;21,88
Dägerlen ;21,88
Dagmersellen ;28,85
Daillens ;32,26
Dallenwil ;19,56
Dällikon ;21,88
Dalpe ;29,24
Damphreux ;25,5
Däniken ;31,72
Dänikon ;21,88
Dardagny ;24,22
Därligen ;25,5
Därstetten ;24
Dättlikon ;21,88
Davos ;33,09
Degersheim ;27,94
Degersheim ;27,32
Deisswil bei Münchenbuchsee ;32,39
Deitingen ;25,1
Delémont ;27,24
Delley-Portalban ;25,35
Démoret ;32,26
Denens ;31,56
Denges ;32,26
Densbüren ;27,2
Derendingen ;44,27
Develier ;30,27
Diegten ;25,65
Dielsdorf ;21,88
Diemerswil ;25,5
Diemtigen ;30,19
Diemtigen ;25,5
Diemtigen ;29,54
Diemtigen ;36,65
Diepflingen ;25,65
Diepoldsau ;28,69
Dierikon ;28,85
Diessbach bei Büren ;45,78
Diessenhofen ;19,84
Dietikon ;21,88
Dietlikon ;26,04
Dietwil ;27,2
Dinhard ;21,88
Dintikon ;18,36
Disentis/Mustér ;27,56
Dittingen ;25,5
Dizy ;32,26
Domat/Ems ;28,47
Domleschg ;21,94
Dompierre (VD) ;31,56
Donneloye ;32,26
Doppleschwand ;28,85
Dorénaz ;27,45
Dorf ;21,88
