m,(Intercept),waveWave 2,co2-30% CO2,tax+6%,energieabhaengigkeit+20%,zeitpunktin 7 years,wave,gender,age,country,income.wave1,education,concern.scaled
227471319859444,1.757938190194841,-0.02658273923103234,0.5508059405640733,-0.8809472527945665,0.3077434980135134,-3.981589699838458,Wave 1,male,73,Germany,"> 4'000€
>5'900 CHF",middle school,1.2375
227471319859444,1.757938190194841,-0.02658273923103234,0.5508059405640733,-0.8809472527945665,0.3077434980135134,-3.981589699838458,Wave 2,male,73,Germany,"> 4'000€
>5'900 CHF",middle school,1.35985576923077
227471319859447,1.3487367760868265,-0.02658273923103234,0.5495635984060072,-4.322626924145106,0.5002063441590838,-3.746682395809481,Wave 2,female,64,Germany,"<1'500- 2'499€
3'100-4'299CHF",degree,1.35985576923077
227471319859447,1.3487367760868265,-0.02658273923103234,0.5495635984060072,-4.322626924145106,0.5002063441590838,-3.746682395809481,Wave 1,female,64,Germany,"<1'500- 2'499€
3'100-4'299CHF",degree,1.2375
227471450945619,2.462782579503271,-0.02658273923103234,0.48056018523189964,-0.9012461933611795,0.21975953588353772,-2.5962612325982732,Wave 2,female,57,Switzerland,"> 4'000€
>5'900 CHF",degree,0.359855769230769
227471450945619,2.462782579503271,-0.02658273923103234,0.48056018523189964,-0.9012461933611795,0.21975953588353772,-2.5962612325982732,Wave 1,female,57,Switzerland,"> 4'000€
>5'900 CHF",degree,0.4875
227471450957862,-1.365801046692721,-0.02658273923103234,0.10550805202315383,-3.086886262065721,0.2727401735758464,0.5458576142519458,Wave 2,female,41,Switzerland,"> 4'000€
>5'900 CHF",no formal education,0.359855769230769
227471450957862,-1.365801046692721,-0.02658273923103234,0.10550805202315383,-3.086886262065721,0.2727401735758464,0.5458576142519458,Wave 1,female,41,Switzerland,"> 4'000€
>5'900 CHF",no formal education,-1.7625
229166066768913,1.468065967298028,-0.02658273923103234,0.35844239388557425,-5.217131058564128,0.3929064886704696,-0.20996319511419625,Wave 2,male,52,Germany,"2'500- 4'000€
<4'300- 5'899CHF",no formal education,0.859855769230769
229166066768913,1.468065967298028,-0.02658273923103234,0.35844239388557425,-5.217131058564128,0.3929064886704696,-0.20996319511419625,Wave 1,male,52,Germany,"2'500- 4'000€
<4'300- 5'899CHF",no formal education,0.2375
229166066768915,2.4871026261199827,-0.02658273923103234,0.6470747582335812,-4.866118990272115,0.5044616575700065,-1.955408051490306,Wave 2,male,35,Germany,"<1'500- 2'499€
3'100-4'299CHF",middle school,0.109855769230769
229166066768915,2.4871026261199827,-0.02658273923103234,0.6470747582335812,-4.866118990272115,0.5044616575700065,-1.955408051490306,Wave 1,male,35,Germany,"<1'500- 2'499€
3'100-4'299CHF",middle school,-0.0125000000000002
229166066769952,1.487688807373308,-0.02658273923103234,0.27643987264273423,-1.553288116407649,0.16256706670121504,-0.4523792590551239,Wave 2,male,35,Germany,"<1'500- 2'499€
3'100-4'299CHF",obligatory school,-1.89014423076923
229166066769952,1.487688807373308,-0.02658273923103234,0.27643987264273423,-1.553288116407649,0.16256706670121504,-0.4523792590551239,Wave 1,male,35,Germany,"<1'500- 2'499€
3'100-4'299CHF",obligatory school,-0.7625
229166066770991,-0.9952282828549626,-0.02658273923103234,0.043444843715853554,-2.903539503289955,0.22057797553565756,-0.16391065088392165,Wave 2,male,69,Germany,"<1'500- 2'499€
3'100-4'299CHF",middle school,-0.640144230769231
229166066770991,-0.9952282828549626,-0.02658273923103234,0.043444843715853554,-2.903539503289955,0.22057797553565756,-0.16391065088392165,Wave 1,male,69,Germany,"<1'500- 2'499€
3'100-4'299CHF",middle school,0.2375
229166066770993,2.000294041303863,-0.02658273923103234,0.6283402614790743,-4.2516905510860195,0.49709300056981953,-2.847174002110047,Wave 2,male,58,Germany,"2'500- 4'000€
<4'300- 5'899CHF",obligatory school,0.859855769230769
229166066770993,2.000294041303863,-0.02658273923103234,0.6283402614790743,-4.2516905510860195,0.49709300056981953,-2.847174002110047,Wave 1,male,58,Germany,"2'500- 4'000€
<4'300- 5'899CHF",obligatory school,0.4875
229166066770995,0.5296390776429466,-0.02658273923103234,0.07419129956183174,0.5243082147927423,-0.008682187756147763,-0.3931266904803803,Wave 2,male,50,Germany,"2'500- 4'000€
<4'300- 5'899CHF",obligatory school,-0.390144230769231
229166066770995,0.5296390776429466,-0.02658273923103234,0.07419129956183174,0.5243082147927423,-0.008682187756147763,-0.3931266904803803,Wave 1,male,50,Germany,"2'500- 4'000€
<4'300- 5'899CHF",obligatory school,-0.0125000000000002
229166066770996,2.1164510564059666,-0.02658273923103234,0.3874786169427073,-2.35522112734889,0.25566200607170375,-2.220437018299599,Wave 2,female,56,Germany,"<1'500€
<3'100CHF",no formal education,1.35985576923077
229166066770996,2.1164510564059666,-0.02658273923103234,0.3874786169427073,-2.35522112734889,0.25566200607170375,-2.220437018299599,Wave 1,female,56,Germany,"<1'500€
<3'100CHF",no formal education,1.2375
229166066772029,1.310283526320747,-0.02658273923103234,0.469933170470891,-1.4227287177438876,0.27405675172127375,-0.8170787123405902,Wave 2,male,43,Germany,"> 4'000€
>5'900 CHF",middle school,1.35985576923077
229166066772029,1.310283526320747,-0.02658273923103234,0.469933170470891,-1.4227287177438876,0.27405675172127375,-0.8170787123405902,Wave 1,male,43,Germany,"> 4'000€
>5'900 CHF",middle school,1.2375
229166066772032,0.8723805565672069,-0.02658273923103234,0.41429596630346127,-1.7776115659745182,0.29289125401822547,-1.6214145091538696,Wave 2,female,51,Germany,"2'500- 4'000€
<4'300- 5'899CHF",obligatory school,-1.89014423076923
229166066772032,0.8723805565672069,-0.02658273923103234,0.41429596630346127,-1.7776115659745182,0.29289125401822547,-1.6214145091538696,Wave 1,female,51,Germany,"2'500- 4'000€
<4'300- 5'899CHF",obligatory school,-1.2625
229166066774127,2.304248498129899,-0.02658273923103234,0.5472434480541111,-5.832976102872623,0.49684949241016263,-1.0076277168092396,Wave 1,male,37,Germany,"2'500- 4'000€
<4'300- 5'899CHF",middle school,0.2375
229166066774127,2.304248498129899,-0.02658273923103234,0.5472434480541111,-5.832976102872623,0.49684949241016263,-1.0076277168092396,Wave 2,male,37,Germany,"2'500- 4'000€
<4'300- 5'899CHF",middle school,1.35985576923077
229166066775173,0.05030445897925895,-0.02658273923103234,0.253351298210021,-0.8285999425171799,0.18507395668980012,-0.7211369500891323,Wave 2,female,24,Germany,"<1'500- 2'499€
3'100-4'299CHF",obligatory school,-1.14014423076923
229166066775173,0.05030445897925895,-0.02658273923103234,0.253351298210021,-0.8285999425171799,0.18507395668980012,-0.7211369500891323,Wave 1,female,24,Germany,"<1'500- 2'499€
3'100-4'299CHF",obligatory school,-1.7625
229166066778296,2.2713389717794623,-0.02658273923103234,0.5833652148055479,-3.8365836774567934,0.4360843043066087,-2.661193787496993,Wave 2,female,59,Germany,"> 4'000€
>5'900 CHF",middle school,1.35985576923077
229166066778296,2.2713389717794623,-0.02658273923103234,0.5833652148055479,-3.8365836774567934,0.4360843043066087,-2.661193787496993,Wave 1,female,59,Germany,"> 4'000€
>5'900 CHF",middle school,1.2375
