Gemeinde;Preise2022
Cortébert ;25,28
Courtelary ;25,28
La Ferrière ;24,98
Mont-Tramelan ;25,08
Orvin ;25,2
Renan (BE) ;25,28
Romont (BE) ;25,2
Saint-Imier ;25,6
Saint-Imier ;26,2
Sonceboz-Sombeval ;25,2
Sonvilier ;25,28
Tramelan ;23,66
Villeret ;25,28
Sauge ;25,2
Péry-La Heutte ;25,2
Brüttelen ;25,2
Erlach ;25,2
Finsterhennen ;25,2
Gals ;25,2
Gampelen ;25,2
Ins ;19,29
Lüscherz ;25,2
Müntschemier ;25,2
Siselen ;25,02
Treiten ;25,2
Tschugg ;25,2
Vinelz ;25,2
Bätterkinden ;20,47
Bätterkinden ;25,2
Deisswil bei Münchenbuchsee ;20,47
Diemerswil ;25,2
Fraubrunnen ;20,47
Jegenstorf ;20,47
Iffwil ;20,47
Mattstetten ;20,47
Moosseedorf ;20,47
Münchenbuchsee ;24,42
Urtenen-Schönbühl ;20,47
Utzenstorf ;25,2
Wiggiswil ;20,47
Wiler bei Utzenstorf ;25,2
Zielebach ;24,8
Zuzwil (BE) ;20,47
Adelboden ;23,97
Aeschi bei Spiez ;25,2
Frutigen ;25,2
Kandergrund ;25,2
Kandersteg ;22,77
Krattigen ;25,2
Reichenbach im Kandertal ;25,2
Beatenberg ;25,2
Bönigen ;25,2
Brienz (BE) ;23,17
Brienzwiler ;24,5
Därligen ;25,2
Grindelwald ;25,23
Grindelwald ;24,18
Gsteigwiler ;25,2
Gündlischwand ;25,23
Habkern ;25,2
Hofstetten bei Brienz ;23,7
Interlaken ;22,78
Iseltwald ;25,2
Lauterbrunnen ;25,23
Lauterbrunnen ;24,9
Leissigen ;25,2
Lütschental ;25,23
Matten bei Interlaken ;22,78
Niederried bei Interlaken ;23,7
Oberried am Brienzersee ;23,7
Ringgenberg (BE) ;23,7
Saxeten ;25,2
Schwanden bei Brienz ;23,7
Unterseen ;22,78
Wilderswil ;20,33
Arni (BE) ;22,88
Biglen ;17,16
Bowil ;25,2
Brenzikofen ;25,2
Freimettigen ;25,2
Grosshöchstetten ;21,91
Häutligen ;25,2
Herbligen ;25,2
Kiesen ;25,2
Konolfingen ;25,2
Landiswil ;25,2
Linden ;23,69
Mirchel ;25,2
Münsingen ;21,25
Niederhünigen ;25,2
Oberdiessbach ;20,85
Oberdiessbach ;23,69
Oberthal ;25,2
Oppligen ;25,2
Rubigen ;25,2
Walkringen ;25,2
Worb ;25,7
Worb ;25,48
Zäziwil ;25,2
Oberhünigen ;25,2
Allmendingen ;25,2
Wichtrach ;25,2
Ferenbalm ;25,2
Frauenkappelen ;23,7
Gurbrü ;25,2
Kriechenwil ;25,2
Laupen ;25,2
Mühleberg ;25,2
Münchenwiler ;21,16
Neuenegg ;25,2
Wileroltigen ;25,2
Belprahon ;25,2
Champoz ;25,2
Corcelles (BE) ;25,2
Court ;25,2
Crémines ;25,2
Eschert ;25,2
Grandval ;25,2
Loveresse ;25,2
Moutier ;24,77
Moutier ;23,57
Moutier ;23,57
Moutier ;24,77
Perrefitte ;23,7
Reconvilier ;25,2
Roches (BE) ;25,2
Saicourt ;25,2
Saules (BE) ;25,2
Schelten ;25,2
Seehof ;25,2
Sorvilier ;25,2
Tavannes ;25,2
Rebévelier ;25,2
Petit-Val ;25,2
Valbirse ;25,2
La Neuveville ;26,25
Nods ;23,7
Nods ;25,88
Plateau de Diesse ;25,58
Plateau de Diesse ;23,7
Aegerten ;22,63
Bellmund ;22,39
Brügg ;22,1
Bühl ;25,2
Epsach ;25,2
Hagneck ;25,2
Hermrigen ;25,2
Jens ;25,2
Ipsach ;25,2
Ligerz ;23,7
Merzligen ;25,2
Mörigen ;25,2
Nidau ;22,45
Orpund ;25,2
Port ;20,73
Safnern ;17,19
Scheuren ;25,2
Schwadernau ;25,2
Studen (BE) ;25,2
Sutz-Lattrigen ;25,2
Täuffelen ;25,2
Walperswil ;25,2
Worben ;25,2
Twann-Tüscherz ;25,2
Därstetten ;23,7
Diemtigen ;21,34
Diemtigen ;23,15
Diemtigen ;19,57
Diemtigen ;25,2
Erlenbach im Simmental ;25,2
Oberwil im Simmental ;22,31
Reutigen ;25,2
Spiez ;25,2
Wimmis ;23,7
Stocken-Höfen ;25,2
Guttannen ;25,2
Hasliberg ;23,7
Innertkirchen ;25,2
Meiringen ;22,08
Meiringen ;23,7
Schattenhalb ;22,08
Schattenhalb ;23,7
Boltigen ;25,2
Lenk ;25,2
St. Stephan ;27,81
St. Stephan ;25,2
Zweisimmen ;25,2
Gsteig ;20,68
Lauenen ;25,2
Saanen ;25,2
Guggisberg ;25,2
Rüschegg ;25,2
Schwarzenburg ;25,2
Belp ;22,44
Burgistein ;25,2
Gerzensee ;25,2
Gurzelen ;25,2
Jaberg ;25,2
Kaufdorf ;25,2
Kehrsatz ;25,2
Kirchdorf (BE) ;25,2
Niedermuhlern ;25,2
Riggisberg ;24,81
Riggisberg ;25,2
Rüeggisberg ;25,2
Seftigen ;25,2
Toffen ;25,2
